Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_D6.3mm_P2.50mm,3,10uF,
"C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,10pF,
DS1,WC1602A,1,WC1602A,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S1,
J10,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S10,
J11,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,DECO,
J12,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,I2C_3V3,
J13,PinHeader_1x07_P2.54mm_Vertical,1,PROGRAM,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S2,
J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S3,
J4,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S4,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S5,
J6,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S6,
J7,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S7,
J8,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S8,
J9,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,S9,
"Q1, Q2",TO-92,2,2N7000,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,6,10k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,2.2K,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,4.7K,
SW1,SW_PUSH_6mm_H4.3mm,1,RUN,
SW2,SW_PUSH_6mm_H4.3mm,1,RESET,
U1,DIP-8_W7.62mm_LongPads,1,ATtiny85-20P,
U2,LCD_PCF8574,1,LCD_PCF8574,
